province;section;town;name;address;borough;startBoard;endBoard
2;6;1;ESCUELA EP N°1;PELLEGRINI 1076;1;6;9
2;6;1;ESCUELA EP N°3;BVARD.ADOLFO ALSINA 778;1;10;15
2;6;1;ESCUELA EP N°40;BELGRANO 918;1;16;19
2;6;1;INST.S.E.UNZUE DE SAN JOSE;ALSINA 820;1;22;25
2;6;1;COLEG.N.S.DE LOS DESAMPARADOS;27 DE MARZO S/N°;1;20;21
2;6;1;CENTRO DE FORMAC.PROFES.N°401;COLON 664;1;26;27
2;6;1;ESCUELA ES N°2/EST N°1;SAN MARTIN Y ECHEVERRIA S/N;1;1;5
2;6;1;ESCUELA ES N°2/EST N°1;SAN MARTIN Y ECHEVERRIA S/N°;2;28;28
2;6;1;ESCUELA EP N°12;AV.SAN MARTIN 485;3;29;34
2;6;1;INSTITUTO MARIANO MORENO;SARMIENTO 160;3;35;37
2;6;1;ESCUELA ES N°2/EST N°1;SAN MARTIN Y ECHEVERRIA S/N°;4;38;38
2;6;1;ESCUELA EP N°6;AV.SAN MARTIN 350;5;39;42
2;6;1;ESCUELA EP N°44;SAN MARTIN Y SARMIENTO S/N°;6;43;43
2;6;1;ESCUELA EP N°18;AV.9 DE JULIO S/N°;7;44;45
2;6;56;ESCUELA EP N°20/EST N°1;V.SARSFIELD 275;424;1;3
2;6;56;ESCUELA EP N°1;GENERAL PAZ 132;424;4;11
2;6;56;COLEGIO INMACULADA CONCEPCION;BARTOLOME MITRE 263;424;18;25
2;6;56;INSTITUTO ELICAGARAY;JUAN ELICAGARAY 569;424;12;17
2;6;56;ESCUELA EP N°4;MALABIA E/C.BARROS Y AV.BARRERA;427;26;30
2;6;56;ESCUELA EP N°5;AV. ROMA G. DE ALONSO S/N°;428;31;31
2;6;7;ESCUELA EP N°4/CENS N°452;LAMADRID 154;72;1;9
2;6;7;ESCUELA EP N°18;GENERAL PAZ 387;72;10;15
2;6;7;JARDIN DE INFANTES N°902;CORRIENTES N°316;72;16;21
2;6;7;ESCUELA ES N°28;DORREGO 545;72;22;27
2;6;7;INST.SUP.MARTINEZ ESTRADA;LAVALLE 167;72;28;31
2;6;7;INSTITUTO LA INMACULADA;BERUTTI 379;73;32;41
2;6;7;ESCUELA EDUC.ESPECIAL N°505;BERUTTI 457;73;64;65
2;6;7;ESCUELA EP N°1/ES N°301/EPA N°702;CHICLANA 851;73;45;49
2;6;7;ESCUELA EP N°5/ESB N°302/CENS N°451;DARRAGUEIRA 446;73;50;63
2;6;7;ESCUELA EP N°34/ESB N°305;FITZ ROY 802;73;68;79
2;6;7;ESCUELA EP N°67;PEDRO PICO 513;73;80;88
2;6;7;ESCUELA EP N°8/CA N°711;PIEDRABUENA 265;73;42;44
2;6;7;INST.ADV.BAHIENSE M.BELGRANO;FITZ ROY 356;73;66;67
2;6;7;COLEGIO INTERNACIONAL DEL SOL;DARRAGUEIRA 45;73;89;93
2;6;7;ESCUELA EP N°65/ESB N°348;TIERRA DEL FUEGO 621;74;94;102
2;6;7;ESCUELA EP N°59/ES N°11 ANEXO;N.LEVALLE 1435;74;103;110
2;6;7;ESCUELA EP N°30;SAENZ PEÑA Y MEXICO;74;111;120
2;6;7;COLEGIO NTRA.SRA.DE POMPEYA;TENIENTE FARIAS 795;74;121;124
2;6;7;ESCUELA EP N°70/ES N°25;INGENIERO LUIGGI 2701;74;138;142
2;6;7;ESCUELA EP N°37/ES N°313;OHIGGINS 1706;74;125;131
2;6;7;ESCUELA EP N°47;PAUNERO 1059;74;132;137
2;6;7;ESCUELA ES N° 11;ESTADOS UNIDOS 2100;74;143;150
2;6;7;ESCUELA EP N°12;ALBERDI 1476;75;151;157
2;6;7;ESCUELA SAN VICENTE DE PAUL;RIVADAVIA 1549;75;158;165
2;6;7;ESCUELA EP N°16/ES N°22;MAIPU 1653;75;166;171
2;6;7;JARDIN DE INFANTES N°917;A.DE ARRIETA 337;75;172;173
2;6;7;ESCUELA EDUC.ESPECIAL N°507;14 DE JULIO 995;75;174;175
