section;town;name;id
1;105;872;872
1;105;873;873
1;105;874;874
1;105;875;875
1;105;876;876
1;105;877;877
1;105;878;878
1;105;878A;878A
1;105;879;879
1;105;879A;879A
1;105;880;880
1;105;880A;880A
1;105;880B;880B
1;105;881;881
1;105;882;882
1;105;882A;882A
1;106;887;887
1;106;888;888
1;106;889;889
1;106;890;890
1;106;891;891
1;106;892;892
1;106;892A;892A
1;106;893;893
1;106;894;894
1;106;895;895
1;110;929;929
1;110;929A;929A
1;110;930;930
1;110;931;931
1;113;530;530
1;113;533;533
1;113;534;534
1;113;534A;534A
1;113;535;535
1;113;535A;535A
1;113;536;536
1;113;536A;536A
1;118;389;389
1;118;390;390
1;118;391;391
1;118;392;392
1;118;393;393
1;118;394;394
1;118;394A;394A
1;118;395;395
1;122;1000;1000
1;122;1001;1001
1;122;993;993
1;122;994;994
1;122;995;995
1;122;996;996
1;122;997;997
1;122;998;998
1;122;999;999
1;129;398;398
1;129;398A;398A
1;129;398B;398B
1;130;399;399
1;130;399A;399A
1;130;399B;399B
1;130;399C;399C
1;130;399D;399D
1;130;399E;399E
1;130;399F;399F
1;130;399G;399G
1;133;666;666
1;133;666A;666A
1;133;667;667
1;134;668;668
1;134;668A;668A
1;134;668B;668B
1;16;155;155
1;16;155A;155A
1;16;156;156
1;16;156A;156A
1;16;156B;156B
1;35;773;773
1;35;773A;773A
1;35;773B;773B
1;35;774;774
1;35;775;775
1;35;775A;775A
1;45;547;547
1;45;548;548
1;45;548A;548A
1;45;548B;548B
1;51;374;374
1;52;376;376
1;52;377;377
1;52;377A;377A
1;52;378;378
1;52;379;379
1;52;380;380
1;52;381;381
1;52;382;382
1;52;383;383
1;52;384;384
1;52;388;388
1;53;397;397
1;53;397A;397A
1;53;397B;397B
1;53;397C;397C
1;53;400;400
1;53;401;401
1;53;401A;401A
1;53;402;402
1;71;596;596
1;71;597;597
1;71;598;598
1;71;599;599
1;71;600;600
1;71;601;601
1;71;602;602
1;71;603;603
1;75;624;624
1;75;624A;624A
1;76;638;638
1;76;639;639
1;76;640;640
1;76;641;641
1;76;642;642
1;76;643;643
1;76;644;644
1;76;645;645
1;76;646;646
1;76;647;647
1;76;648;648
1;77;652;652
1;77;652A;652A
1;77;653;653
1;77;654;654
1;77;655;655
1;77;655A;655A
1;79;663;663
1;79;663A;663A
1;79;663B;663B
1;79;663C;663C
1;79;663D;663D
1;79;664;664
1;79;664A;664A
1;79;664B;664B
1;80;665;665
1;80;669;669
1;80;670;670
1;80;671;671
1;80;672;672
1;80;673;673
1;81;675;675
1;81;676;676
1;81;677;677
1;81;678;678
1;81;679;679
1;81;680;680
1;81;681;681
1;81;681A;681A
1;81;682;682
1;81;683;683
1;89;768;768
1;89;769;769
1;89;770;770
1;89;770A;770A
1;89;771;771
1;89;772;772
2;101;854;854
2;101;855;855
2;101;855A;855A
2;101;856;856
2;101;857;857
2;101;857A;857A
2;101;857B;857B
2;101;858;858
2;102;860;860
2;102;861;861
2;102;862;862
2;102;862A;862A
2;102;863;863
2;102;863A;863A
2;102;864;864
2;103;866;866
2;103;867;867
2;103;868;868
2;103;869;869
2;103;870;870
2;107;901;901
2;107;901A;901A
2;107;901B;901B
2;107;902;902
2;107;903;903
2;107;904;904
2;107;905;905
2;107;906;906
2;107;907;907
2;107;908;908
2;107;909;909
2;107;910;910
2;107;911;911
2;108;913;913
2;108;914;914
2;108;915;915
2;108;916;916
2;108;917;917
2;108;918;918
2;108;919;919
2;108;920;920
2;108;921;921
2;108;922;922
2;108;922A;922A
2;10;117;117
2;10;117A;117A
2;10;117B;117B
2;10;118;118
2;10;120;120
2;125;1013;1013
2;125;1013A;1013A
2;125;1014;1014
2;125;1015;1015
2;125;1016;1016
2;125;1017;1017
2;125;1018;1018
2;125;1019;1019
2;125;1020;1020
2;125;1021;1021
2;18;121;121
2;18;122;122
2;21;175;175
2;21;176;176
2;21;177;177
2;24;230;230
2;24;230A;230A
2;24;231;231
2;24;231A;231A
2;37;292;292
